Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
9/27/2015,PerthAirport,11.5,25.9,0,5.8,11.1,E,69,E,E,46,19,54,30,1023,1018.9,1,2,17.3,25.4,No
9/28/2015,PerthAirport,12.9,28,0,5.2,11.1,ENE,41,ENE,WSW,20,20,54,39,1017.3,1014.2,1,2,18.9,24.4,No
9/29/2015,PerthAirport,11.5,22.8,0,5,9.8,WSW,35,NNW,WSW,6,19,71,38,1018.2,1018,6,2,17.5,21.6,No
9/30/2015,PerthAirport,9.2,24.5,0,5.2,10.8,WSW,31,NNE,WSW,13,19,69,50,1024.7,1023.1,1,1,18.8,23.4,No
10/1/2015,PerthAirport,10.9,33.5,0,4.4,11.2,N,39,NE,WNW,17,19,44,25,1022.2,1019.4,0,0,23.1,27.6,No
10/2/2015,PerthAirport,10.9,28.3,0,6.4,5.4,NNW,28,NNE,W,11,15,40,19,1021.1,1017.8,7,7,20,27.2,No
10/3/2015,PerthAirport,13.1,25.5,0.2,4.2,10.1,WNW,41,NNE,WNW,4,24,77,54,1022.2,1021.4,7,4,19.9,24.2,No
10/4/2015,PerthAirport,15.6,24.1,0,3.6,6.9,NNW,41,N,WNW,15,28,79,58,1020.5,1018.5,5,7,20.5,21.8,No
10/5/2015,PerthAirport,15.9,20.2,1.6,7.4,8.4,SW,59,W,SW,30,33,51,45,1019,1020.8,5,7,19.3,18.4,Yes
10/6/2015,PerthAirport,4.9,21.6,0,5.2,11.2,NE,46,E,SE,22,15,41,22,1029.8,1026.1,1,0,14.1,20.9,No
10/7/2015,PerthAirport,7.6,27.6,0,5.8,11.2,ENE,50,ENE,ENE,31,17,25,12,1024.7,1019.5,2,5,19.1,26.9,No
10/8/2015,PerthAirport,9,30.2,0,6.6,11.6,SW,35,ENE,SW,15,26,24,28,1021.8,1018.7,1,1,23.7,29.1,No
10/9/2015,PerthAirport,12.7,34.7,0,7.4,11.7,ENE,33,ENE,WSW,7,20,28,24,1021.8,1018.9,0,1,25.9,30.7,No
10/10/2015,PerthAirport,12,33.2,0,8,11.2,W,31,SSW,WSW,7,19,47,32,1022.9,1019.8,2,1,23,32,No
10/11/2015,PerthAirport,16.5,32.9,0,7.8,9.9,E,43,ENE,E,20,17,48,24,1021.7,1018.5,2,2,24,32.5,No
10/12/2015,PerthAirport,18.1,33.5,0,8.2,11.8,ENE,43,E,WSW,4,22,42,26,1018.8,1014.7,1,1,24.7,30.6,No
10/13/2015,PerthAirport,13.1,32.4,0,7,9.5,SW,50,N,W,9,17,70,38,1014.6,1011.3,1,1,19.6,26.2,No
10/14/2015,PerthAirport,12.9,21.9,0.4,6.6,5.8,W,41,SW,WSW,20,26,82,60,1014.3,1014.1,8,7,18.5,19.8,No
10/15/2015,PerthAirport,8,20.5,1.8,5.6,9.4,SW,37,S,SW,22,22,50,35,1022.7,1021.2,7,2,16.7,18.6,Yes
10/16/2015,PerthAirport,3.7,22.7,0,3.8,12,SW,41,S,WSW,15,24,40,32,1024.1,1020.3,1,0,18.2,22.3,No
10/17/2015,PerthAirport,6.3,30.1,0,6.8,12.1,ENE,37,ENE,W,20,24,39,23,1017.8,1013.1,0,1,21,28.1,No
10/18/2015,PerthAirport,10.1,22.7,0,7.2,5.7,WNW,43,WSW,NW,24,24,50,63,1017.4,1017,6,7,20.1,19.4,No
10/19/2015,PerthAirport,8,22.4,1,4.2,10.2,WNW,41,SSE,WSW,17,22,56,42,1022.9,1020.7,3,1,17.3,21.3,No
10/20/2015,PerthAirport,7.1,28.4,0,5.8,12,S,43,ENE,W,17,19,44,32,1021.8,1018,0,0,20.7,27.2,No
10/21/2015,PerthAirport,11.4,32.9,0,8.8,12.3,ENE,35,ENE,WSW,20,22,38,32,1017.4,1014.5,0,0,23.9,29.9,No
10/22/2015,PerthAirport,11.4,24.2,0,7,5.3,WSW,33,WSW,W,6,17,74,63,1014.3,1014.3,7,7,20.4,22.1,No
10/23/2015,PerthAirport,16.2,22.5,0,5,6.6,SW,41,WSW,SW,24,28,64,56,1016.5,1016.1,7,7,20,20.9,No
10/24/2015,PerthAirport,12.6,25,0,4.8,6.3,SE,41,SSW,SSW,11,24,64,39,1020.1,1016.7,7,4,18.7,24.3,No
10/25/2015,PerthAirport,15.2,24.5,0,5.6,8.8,ESE,65,SE,SE,13,20,48,43,1019.8,1017.1,3,5,19.3,23.3,No
10/26/2015,PerthAirport,14.9,28.5,0.6,6.4,12,E,48,E,E,22,15,55,34,1019,1015.2,2,1,20.3,27.7,No
10/27/2015,PerthAirport,15.2,27.3,0,8,5.6,E,56,ESE,S,28,15,56,37,1015.9,1013,7,8,20.5,26.6,No
10/28/2015,PerthAirport,17.7,27.2,2.6,5,11.1,E,48,NE,WSW,15,22,69,48,1014.9,1013.6,3,2,21.9,25.4,Yes
10/29/2015,PerthAirport,15.4,26.6,0,7.2,10.1,WNW,31,NW,SW,13,19,72,59,1016.2,1014,8,0,21.2,25.2,No
10/30/2015,PerthAirport,16.8,27.7,0,5.2,5.8,W,37,N,WNW,17,24,61,52,1016.1,1014.9,5,7,22.4,25.1,No
10/31/2015,PerthAirport,16,24.8,11,5,10.8,W,35,WNW,W,11,24,69,47,1016.6,1015.3,7,3,21.8,24.3,Yes
11/1/2015,PerthAirport,11.1,26.1,0,7,6.9,W,31,E,W,17,20,72,37,1014.1,1008.5,7,3,17.5,25.4,No
11/2/2015,PerthAirport,13.9,23.4,14.8,5.6,10.3,W,39,SSW,W,13,28,69,55,1010.6,1011.9,4,4,18.1,22.6,Yes
11/3/2015,PerthAirport,14.8,26.2,0,5.8,12.6,W,35,NE,WSW,11,22,49,40,1018.8,1016,0,1,20.8,25.3,No
11/4/2015,PerthAirport,13,25.6,0,7.2,12.2,W,33,SW,W,7,24,58,42,1015.6,1011.1,1,1,20.1,23.9,No
11/5/2015,PerthAirport,10,24.5,0,7,9,WSW,37,SW,WSW,13,20,57,50,1008.2,1006.4,6,7,20.8,22,No
11/6/2015,PerthAirport,15,26.6,0,6,8.3,SSW,44,S,SW,15,28,57,50,1007.2,1003.6,7,3,19.9,25,No
11/7/2015,PerthAirport,17.3,24.1,1.2,7.4,4,S,39,SSW,SW,24,22,63,49,1013.6,1013.3,8,6,18.8,23.5,Yes
