The data below was generated for educational purpose and does not contain sensitive information.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ID,Major,HighSchoolGPA,SATScores,AppliedtoanotherUC,AdmittedtoanotherUC,FirstGeneration,Gender,TotalHSHonorsCoursesTaken,MathPlacementScore,FirstMathClassGrade,@1stSemesterGPA,Retained1stYear,Graduated
281796,Anthropology,3.81,1020,Yes,Yes,Yes,M,0,7,C,1.1,N,No
73334,Anthropology,3.62,690,Yes,Yes,No,F,6,5,I,1.88,Y,No
270078,Anthropology,3.8,900,No,No,Yes,F,0,7,C,1.9,N,No
197784,Anthropology,3.72,790,Yes,Yes,No,F,0,8,F,1.9,N,No
218180,Anthropology,3.75,860,Yes,Yes,No,F,12,5,D,1.9,Y,Yes
261720,Anthropology,3.8,750,Yes,Yes,Yes,F,12,2,D-,2,Y,Yes
233748,Anthropology,3.76,960,Yes,Yes,No,F,0,7,F,2,Y,Yes
179156,Anthropology,3.7,1130,Yes,Yes,No,F,0,6,F,2.15,Y,No
244454,Anthropology,3.77,990,Yes,Yes,No,F,0,8,A+,2.15,Y,Yes
79692,Anthropology,3.6,820,No,No,Yes,M,6,7,B-,2.23,Y,No
242852,Anthropology,3.77,680,No,No,No,F,0,2,D-,2.25,Y,Yes
79694,Anthropology,3.6,550,Yes,Yes,No,M,1,7,F,2.25,Y,Yes
124842,Anthropology,3.65,1010,Yes,Yes,Yes,M,16,7,C-,2.25,Y,Yes
135482,Anthropology,3.66,790,Yes,Yes,Yes,F,0,9,C+,2.3,N,No
233392,Anthropology,3.76,1060,Yes,No,No,M,10,4,A+,2.3,Y,No
174554,Anthropology,3.7,1130,Yes,Yes,Yes,M,8,4,A+,2.3,Y,Yes
195682,Anthropology,3.72,1080,Yes,No,No,M,13,9,A+,2.3,Y,Yes
249750,Anthropology,3.78,940,Yes,No,No,F,6,3,D,2.3,Y,Yes
244592,Anthropology,3.77,820,Yes,Yes,No,M,0,4,D-,2.3,Y,Yes
62708,Anthropology,3.69,770,Yes,Yes,Yes,M,5,5,C-,2.53,Y,Yes
77796,Anthropology,3.6,770,Yes,Yes,No,M,0,7,B+,2.59,N,No
151018,Anthropology,3.68,1240,Yes,Yes,Yes,F,9,10,A+,2.6,N,No
207618,Anthropology,3.73,940,Yes,No,Yes,F,0,4,A+,2.6,Y,No
126190,Anthropology,3.65,1030,Yes,No,Yes,F,0,4,C-,2.6,Y,No
274982,Anthropology,3.11,1140,Yes,Yes,No,F,7,10,A+,2.6,Y,Yes
141298,Anthropology,3.66,720,Yes,Yes,Yes,M,0,4,C-,2.68,N,No
79342,Anthropology,3.6,950,Yes,Yes,Yes,M,10,7,B-,2.7,Y,No
78718,Anthropology,3.6,970,Yes,Yes,Yes,F,0,7,B-,2.75,Y,No
282012,Anthropology,3.12,880,No,No,Yes,M,6,10,B-,2.75,Y,Yes
127020,Anthropology,3.65,910,Yes,Yes,Yes,F,10,1,W,2.78,N,No
141306,Anthropology,3.66,1240,Yes,Yes,No,F,0,7,B-,2.8,N,No
234558,Anthropology,3.77,700,No,No,No,F,0,2,F,2.8,N,No
175650,Anthropology,3.7,970,Yes,Yes,Yes,M,12,1,W,2.8,N,No
223124,Anthropology,3.75,1210,Yes,Yes,Yes,F,0,1,A+,2.8,Y,No
141300,Anthropology,3.66,1030,Yes,Yes,No,F,0,9,A,2.81,N,No
232838,Anthropology,3.76,940,Yes,No,Yes,F,0,1,W,2.82,N,No
229110,Anthropology,3.76,830,Yes,Yes,No,M,11,1,W,2.85,Y,Yes
142790,Anthropology,3.66,760,Yes,Yes,No,M,10,5,I,2.9,Y,Yes
75770,Anthropology,3.6,770,Yes,Yes,No,M,2,8,B-,3,Y,No
